name,country,age,wealth,source,year
Alisher Usmanov,Russia,62,12.5,"Steel, Telecom, Investments",2016
Charlene de Carvalho-Heineken,Netherlands,61,12.3,Heineken,2016
Charles Ergen,United States,63,12.2,Satellite TV,2016
Ronald Perelman,United States,73,12.1,Leveraged Buyouts,2016
Vladimir Potanin,Russia,55,12.1,Metals,2016
Stephen Ross,United States,75,12,Real Estate,2016
Patrick Soon-Shiong,United States,64,11.9,Pharmaceuticals,2016
Masayoshi Son,Japan,58,11.7,"Internet, Telecom",2016
Heinz Hermann Thiele,Germany,74,11.7,Brakes,2016
Francois Pinault,France,79,11.5,Retail,2016
David Tepper,United States,58,11.4,Hedge Funds,2016
Gennady Timchenko,Russia,63,11.4,Oil & Gas,2016
Carlos Alberto Sicupira,Brazil,68,11.3,Beer,2016
Shiv Nadar,India,70,11.1,Software Services,2016
Thomas Peterffy,United States,71,11.1,Discount Brokerage,2016
Robin Li,China,47,11,Internet Search,2016
Alain Wertheimer,France,67,11,Chanel,2016
Gerard Wertheimer,France,65,11,Chanel,2016
Alexey Mordashov,Russia,50,10.9,"Steel, Investments",2016
Elon Musk,United States,44,10.7,Tesla Motors,2016
Charoen Sirivadhanabhakdi,Thailand,71,10.7,Beverages,2016
Petr Kellner,Czech Republic,51,10.6,"Banking, Insurance",2016
Rupert Murdoch,United States,84,10.6,Media,2016
Viktor Vekselberg,Russia,58,10.5,"Metals, Energy",2016
Lukas Walton,United States,29,10.4,Wal-Mart,2016
Eric Schmidt,United States,60,10.2,Google,2016
Iris Fontbona,Chile,73,10.1,Mining,2016
Massimiliana Landini Aleotti,Italy,73,10.1,Pharmaceuticals,2016
Mike Adenuga,Nigeria,62,10,"Telecom, Oil",2016
Klaus-Michael Kuehne,Germany,78,10,Shipping,2016
Robert Kuok,Malaysia,92,10,"Palm Oil, Shipping, Real Estate",2016
"Samuel Newhouse, Jr.",United States,88,10,Media,2016
Lei Jun,China,46,9.8,Smartphones,2016
Philip Anschutz,United States,76,9.7,Investments,2016
Jim Kennedy,United States,68,9.7,Media,2016
Blair Parry-Okeden,United States,65,9.7,Media,2016
John Paulson,United States,60,9.7,Hedge Funds,2016
Lee Kun-Hee,South Korea,74,9.6,Samsung,2016
Hasso Plattner,Germany,72,9.5,Software,2016
Stephen Schwarzman,United States,69,9.5,Investments,2016
Andrew Beal,United States,63,9.4,"Banks, Real Estate",2016
Vladimir Lisin,Russia,59,9.3,"Steel, Transport",2016
"John Menard, Jr.",United States,76,9.3,Retail,2016
Donald Newhouse,United States,86,9.3,Media,2016
Udo & Harald Tschira,Germany,n/a,9.3,Software,2016
Galen Weston,Canada,75,9.3,Retail,2016
German Larrea Mota Velasco,Mexico,62,9.2,Mining,2016
He Xiangjian,China,73,9,Home Appliances,2016
Leonard Lauder,United States,82,9,Est_e Lauder,2016
Vagit Alekperov,Russia,65,8.9,Oil,2016
Dustin Moskovitz,United States,31,8.9,Facebook,2016
Luis Carlos Sarmiento,Colombia,83,8.9,Banking,2016
Gina Rinehart,Australia,62,8.8,Mining,2016
German Khan,Russia,54,8.7,"Oil, Banking, Telecom",2016
Ernesto Bertarelli,Switzerland,50,8.6,"Biotech, Investments",2016
Hui Ka Yan,China,57,8.6,Real Estate,2016
Jan Koum,United States,40,8.6,Whatsapp,2016
Xavier Niel,France,48,8.6,"Internet, Telecom",2016
John Fredriksen,Cyprus,71,8.5,Shipping,2016
Cyrus Poonawalla,India,74,8.5,Vaccines,2016
Gianluigi & Rafaela Aponte,Switzerland,n/a,8.4,Shipping,2016
Lakshmi Mittal,India,65,8.4,Steel,2016
Eyal Ofer,Israel,65,8.4,"Real Estate, Shipping",2016
Mohammed Al Amoudi,Saudi Arabia,69,8.3,"Oil, Diversified",2016
Hank & Doug Meijer,United States,n/a,8.2,Supermarkets,2016
Andrey Melnichenko,Russia,43,8.2,"Coal, Fertilizers",2016
William Ding,China,44,8.1,Online Games,2016
R. Budi Hartono,Indonesia,75,8.1,"Banking, Tobacco",2016
Reinhold Wuerth,Germany,80,8.1,Fasteners,2016
James Goodnight,United States,73,8,Software,2016
Johann Graf,Austria,69,8,Gambling,2016
Michael Hartono,Indonesia,76,7.9,"Tobacco, Banking",2016
Dietmar Hopp,Germany,75,7.9,Software,2016
Stanley Kroenke,United States,68,7.7,"Sports, Real Estate",2016
Dmitry Rybolovlev,Russia,49,7.7,Fertilizer,2016
Suh Kyung-Bae,South Korea,53,7.7,Cosmetics,2016
Roman Abramovich,Russia,49,7.6,"Steel, Investments",2016
Emmanuel Besnier,France,45,7.6,Cheese,2016
Lui Che Woo,Hong Kong,86,7.6,Casinos,2016
Robert & Philip Ng,Singapore,n/a,7.6,Real Estate,2016
Mikhail Prokhorov,Russia,50,7.6,Investments,2016
August von Finck,Germany,85,7.6,Investments,2016
Ken Griffin,United States,47,7.5,Hedge Funds,2016
Ananda Krishnan,Malaysia,77,7.4,Telecom,2016
Eli Broad,United States,82,7.3,Investments,2016
"Thomas Frist, Jr.",United States,77,7.3,Health Care,2016
"Herbert Kohler, Jr.",United States,77,7.3,Plumbing Fixtures,2016
Harry Triguboff,Australia,82,7.3,Property,2016
"Edward Johnson, III.",United States,85,7.2,Money Management,2016
Pierre Omidyar,United States,48,7.2,Ebay,2016
Takemitsu Takizaki,Japan,70,7.2,Sensors,2016
Wang Wenyin,China,48,7.2,"Mining, Copper Products",2016
Micky Arison,United States,66,7.1,Carnival Cruises,2016
George Kaiser,United States,73,7.1,"Oil & Gas, Banking",2016
Les Wexner,United States,78,7.1,Retail,2016
Alberto Bailleres Gonzalez,Mexico,84,6.9,Mining,2016
Dhanin Chearavanont,Thailand,76,6.8,Diversified,2016
Margarita Louis-Dreyfus,Switzerland,53,6.8,Commodities,2016
Alexei Kuzmichev,Russia,53,6.7,"Oil, Banking, Telecom",2016
Nicky Oppenheimer,South Africa,70,6.6,Diamonds,2016
Peter Woo,Hong Kong,69,6.6,Real Estate,2016
Jean-Claude Decaux,France,78,6.5,Advertising,2016
David Geffen,United States,73,6.5,Entertainment,2016
James Chambers,United States,58,6.4,Media,2016
Walter Droege,Germany,63,6.4,Consulting,2016
Graeme Hart,New Zealand,60,6.4,Investments,2016
Sandra Ortega Mera,Spain,47,6.4,Zara,2016
Katharine Rayner,United States,71,6.4,Media,2016
Margaretta Taylor,United States,73,6.4,Media,2016
John Grayken,Ireland,59,6.3,Private Equity,2016
Uday Kotak,India,56,6.3,Banking,2016
Liu Qiangdong,China,41,6.3,E-Commerce,2016
John Malone,United States,74,6.3,Cable Television,2016
Silvio Berlusconi,Italy,79,6.2,Media,2016
Garrett Camp,Canada,37,6.2,Uber Technologies,2016
Curt Engelhorn,Germany,89,6.2,Pharmaceuticals,2016
Travis Kalanick,United States,39,6.2,Uber Technologies,2016
Walter Kwok,Hong Kong,65,6.2,Real Estate,2016
Eduardo Saverin,Brazil,33,6.2,Facebook,2016
Xu Shihui,China,58,6.2,"Snacks, Beverages",2016
Zong Qinghou,China,70,6.2,Beverages,2016
Giorgio Armani,Italy,81,6.1,Armani,2016
Kumar Birla,India,48,6.1,Commodities,2016
Eva Gonda de Rivera,Mexico,n/a,6.1,Beverages,2016
Wolfgang Marguerre,Germany,75,6.1,Pharmaceuticals,2016
Hansjoerg Wyss,Switzerland,81,6.1,Medical Devices,2016
Jay Y. Lee,South Korea,47,6,Samsung,2016
Gordon Moore,United States,87,6,Intel,2016
Frederik Paulsen,Sweden,65,6,Health Care,2016
Tsai Eng-Meng,Taiwan,59,6,"Food, Beverages",2016
Patrick Drahi,France,52,5.9,Telecom,2016
Philip & Cristina Green,United Kingdom,63,5.9,Retail,2016
Mikhail Gutseriev,Russia,57,5.9,"Oil, Real Estate",2016
Shahid Khan,United States,65,5.9,Auto Parts,2016
Richard LeFrak,United States,70,5.9,Real Estate,2016
Tom & Judy Love,United States,78,5.9,Retail & Gas Stations,2016
Pan Sutong,Hong Kong,52,5.9,"Real Estate, Finance",2016
Zhang Zhidong,China,44,5.9,Internet Media,2016
Zhou Qunfei,Hong Kong,46,5.9,Smartphone Glass Covers,2016
Michael Kadoorie,Hong Kong,74,5.8,"Hotels, Energy",2016
Jorn Rausing,Sweden,56,5.8,Packaging,2016
John A. Sobrato,United States,76,5.8,Real Estate,2016
Dennis Washington,United States,81,5.8,"Construction, Mining",2016
Christoffel Wiese,South Africa,74,5.8,Retailing,2016
Francis Choi,Hong Kong,68,5.7,Real Estate,2016
Sergei Galitsky,Russia,48,5.7,Retail,2016
Antonia Johnson,Sweden,72,5.7,Diversified,2016
Pauline MacMillan Keinath,United States,82,5.7,Cargill,2016
Lu Guanqiu,China,71,5.7,Conglomerate,2016
Sunil Mittal,India,58,5.7,Telecom,2016
Denis O'Brien,Ireland,57,5.7,Telecom,2016
Augusto & Giorgio Perfetti,Italy,n/a,5.7,Candy,2016
Melker Schorling,Sweden,68,5.7,Investments,2016
Heinrich Deichmann,Germany,53,5.6,Footwear,2016
Terry Gou,Taiwan,65,5.6,Electronics,2016
David Green,United States,74,5.6,Retail,2016
Hiroshi Mikitani,Japan,51,5.6,Online Retail,2016
Stef Wertheimer,Israel,89,5.6,Metalworking Tools,2016
Maria Asuncion Aramburuzabala,Mexico,52,5.5,"Beer, Investments",2016
Desh Bandhu Gupta,India,78,5.5,Pharmaceuticals,2016
Ralph Lauren,United States,76,5.5,Ralph Lauren,2016
Ted Lerner,United States,90,5.5,Real Estate,2016
James Ratcliffe,United Kingdom,63,5.5,Chemicals,2016
Finn Rausing,Sweden,61,5.5,Packaging,2016
Kirsten Rausing,Sweden,63,5.5,Packaging,2016
Bruce Halle,United States,85,5.4,Tires,2016
James Irving,Canada,87,5.4,Diversified,2016
Jason Jiang,China,43,5.4,Advertising,2016
Richard Kinder,United States,71,5.4,Pipelines,2016
Juan Roig,Spain,66,5.4,Supermarkets,2016
Charles Schwab,United States,78,5.4,Discount Brokerage,2016
Aloys Wobben,Germany,64,5.4,Wind Turbines,2016
Xu Chuanhua,China,81,5.4,Chemicals,2016
Vincent Bollore,France,63,5.3,Investments,2016
Guenther Fielmann,Germany,76,5.3,Optometry,2016
Ray Lee Hunt,United States,73,5.3,"Oil, Real Estate",2016
Bruce Kovner,United States,71,5.3,Hedge Funds,2016
Law Kar Po,Hong Kong,67,5.3,Real Estate,2016
Joe Lewis,United Kingdom,79,5.3,Investments,2016
Quek Leng Chan,Malaysia,74,5.3,"Banking, Real Estate",2016
Johann Rupert,South Africa,65,5.3,Luxury Goods,2016
Andrei Skoch,Russia,50,5.3,Steel,2016
Jack Taylor,United States,93,5.3,Enterprise Rent-A-Car,2016
Chan Laiwa,China,75,5.2,Real Estate,2016
Anders Holch Povlsen,Denmark,43,5.2,Retail,2016
Trevor Rees-Jones,United States,64,5.2,Oil & Gas,2016
Christy Walton,United States,67,5.2,Wal-Mart,2016
Vivien Chen,Hong Kong,57,5.1,Real Estate,2016
Harold Hamm,United States,70,5.1,Oil & Gas,2016
Diane Hendricks,United States,69,5.1,Roofing,2016
Liu Yongxing,China,67,5.1,Agribusiness,2016
Ian & Richard Livingstone,United Kingdom,n/a,5.1,Real Estate,2016
Frank Lowy,Australia,85,5.1,Shopping Malls,2016
Ludwig Merckle,Germany,51,5.1,Pharmaceuticals,2016
Dan Olsson,Sweden,69,5.1,Diversified,2016
Majid Al Futtaim,United Arab Emirates,n/a,5,"Real Estate, Retail",2016
Charles Dolan,United States,89,5,Cable Television,2016
Israel Englander,United States,67,5,Hedge Funds,2016
Goh Cheng Liang,Singapore,88,5,Paints,2016
"John Gokongwei, Jr.",Philippines,88,5,Diversified,2016
Guo Guangchang,China,49,5,Conglomerate,2016
Tamara Gustavson,United States,54,5,Self Storage,2016
Jerry Jones,United States,73,5,Dallas Cowboys,2016
Karl-Heinz Kipp,Germany,92,5,Retail,2016
Kwee family,Singapore,71,5,Pontiac Land Group,2016
Willi & Isolde Liebherr,Switzerland,n/a,5,Construction,2016
Lin Yu-lin,Taiwan,80,5,Real Estate,2016
Arnon Milchan,Israel,71,5,Movie Making,2016
Shashi & Ravi Ruia,India,n/a,5,Diversified,2016
David Shaw,United States,64,5,Hedge Funds,2016
Yang Huiyan,China,34,5,Real Estate,2016
Abdulla bin Ahmad Al Ghurair,United Arab Emirates,n/a,4.9,Diversified,2016
David & Frederick Barclay,United Kingdom,82,4.9,"Media, Retail",2016
Richard Branson,United Kingdom,65,4.9,Virgin,2016
Jim Davis,United States,72,4.9,New Balance,2016
Albert Frere,Belgium,90,4.9,Investments,2016
Daniel Gilbert,United States,54,4.9,Quicken Loans,2016
Akira Mori,Japan,79,4.9,Real Estate,2016
Robert Rowling,United States,62,4.9,Investments,2016
Alejandro Santo Domingo,United States,39,4.9,Beer,2016
Andres Santo Domingo,United States,37,4.9,Beer,2016
Bernard (Barry) Sherman,Canada,74,4.9,Pharmaceuticals,2016
Chairul Tanjung,Indonesia,53,4.9,Diversified,2016
Carl Cook,United States,53,4.8,Medical Devices,2016
Michael & Marian Ilitch,United States,86,4.8,Pizza,2016
Bidzina Ivanishvili,Georgia,60,4.8,Investments,2016
Robert Kraft,United States,74,4.8,New England Patriots,2016
Lu Zhiqiang,China,63,4.8,Conglomerate,2016
Michael Stoschek,Germany,68,4.8,Autoparts,2016
Sam Zell,United States,74,4.8,"Real Estate, Private Equity",2016
Daniel Ziff,United States,44,4.8,Investments,2016
Dirk Ziff,United States,51,4.8,Investments,2016
Robert Ziff,United States,49,4.8,Investments,2016
Richard DeVos,United States,89,4.7,Amway,2016
Gustaf Douglas,Sweden,77,4.7,Security,2016
Arthur Irving,Canada,86,4.7,Oil,2016
Jia Yueting,China,43,4.7,Online Video,2016
"Paul Tudor Jones, II.",United States,61,4.7,Hedge Funds,2016
Whitney MacMillan,United States,87,4.7,Cargill,2016
Sun Guangxin,China,53,4.7,Diversified,2016
Teh Hong Piow,Malaysia,85,4.7,Banking,2016
Hans Peter Wild,Germany,74,4.7,Flavorings,2016
Pyotr Aven,Russia,60,4.6,"Oil, Banking, Telecom",2016
Laurence Graff,United Kingdom,77,4.6,Diamond Jewelry,2016
Charles Johnson,United States,83,4.6,Money Management,2016
Lee Shin Cheng,Malaysia,76,4.6,"Palm Oil, Real Estate",2016
Richard Li,Hong Kong,49,4.6,Telecom,2016
Bruno Schroder,United Kingdom,83,4.6,Banking,2016
Mark Shoen,United States,64,4.6,U-Haul,2016
Dona Bertarelli,Switzerland,48,4.5,Biotech,2016
Leon Black,United States,64,4.5,Private Equity,2016
Carlos and Alejandro Bulgheroni,Argentina,n/a,4.5,Oil And Gas,2016
Clive Calder,United Kingdom,69,4.5,Record Label,2016
Ann Walton Kroenke,United States,67,4.5,Wal-Mart,2016
George Lucas,United States,71,4.5,Star Wars,2016
Theo Mueller,Germany,76,4.5,Dairy,2016
Jim Pattison,Canada,87,4.5,Diversified,2016
Sergei Popov,Russia,44,4.5,Banking,2016
Sumner Redstone,United States,92,4.5,Media,2016
Maria-Elisabeth Schaeffler,Germany,74,4.5,Ball Bearings,2016
David Sun,United States,64,4.5,Computer Hardware,2016
Donald Trump,United States,69,4.5,"Television, Real Estate",2016
John Tu,United States,75,4.5,Computer Hardware,2016
Brian Acton,United States,44,4.4,Whatsapp,2016
Jeronimo Arango,Mexico,90,4.4,Retail,2016
Pierre Bellon,France,86,4.4,Food Services,2016
Stanley Druckenmiller,United States,62,4.4,Hedge Funds,2016
David Duffield,United States,75,4.4,Business Software,2016
Micky Jagtiani,India,64,4.4,Retail,2016
Wolfgang Reimann,Germany,63,4.4,Consumer Goods,2016
Matthias Reimann-Andersen,Germany,50,4.4,Consumer Goods,2016
Stefan Reimann-Andersen,Germany,52,4.4,Consumer Goods,2016
Renate Reimann-Haas,Germany,64,4.4,Consumer Goods,2016
Emanuele (Lino) Saputo,Canada,79,4.4,Cheese,2016
Tong Jinquan,China,61,4.4,Real Estate,2016
Wang Chuanfu,China,50,4.4,"Batteries, Autos",2016
Bernard Broermann,Germany,72,4.3,Hospitals,2016
Chung Mong-Koo,South Korea,77,4.3,Motor Vehicles,2016
Joao Roberto Marinho,Brazil,62,4.3,Media,2016
Jose Roberto Marinho,Brazil,60,4.3,Media,2016
Roberto Irineu Marinho,Brazil,68,4.3,Media,2016
Ricardo Salinas Pliego,Mexico,60,4.3,"Retail, Media",2016
Wei Jianjun,China,52,4.3,Automobiles,2016
Ralph Dommermuth,Germany,52,4.2,Internet Service Provider,2016
Jeffery Hildebrand,United States,56,4.2,Oil,2016
Henry Kravis,United States,72,4.2,Private Equity,2016
Sri Prakash Lohia,Indonesia,63,4.2,Polyester,2016
Carrie Perrodo,France,65,4.2,Oil,2016
Odd Reitan,Norway,64,4.2,"Retail, Real Estate",2016
Stewart and Lynda Resnick,United States,n/a,4.2,"Agriculture, Water",2016
Joseph Tsai,Canada,52,4.2,E-Commerce,2016
Wang Wei,China,45,4.2,Package Delivery Service,2016
Wee Cho Yaw,Singapore,87,4.2,Banking,2016
M.A. Yusuff Ali,India,60,4.2,Retail,2016
Americo Amorim,Portugal,81,4.1,"Energy, Investments",2016
Dannine Avara,United States,52,4.1,Pipelines,2016
John Doerr,United States,64,4.1,Venture Capital,2016
Scott Duncan,United States,33,4.1,Pipelines,2016
Milane Frantz,United States,46,4.1,Pipelines,2016
Gong Hongjia,Hong Kong,51,4.1,Investments,2016
Liu Yonghao,China,64,4.1,Agribusiness,2016
George Roberts,United States,72,4.1,Private Equity,2016
Mark Scheinberg,Canada,42,4.1,Online Gambling,2016
Reinhold Schmieding,United States,61,4.1,Medical Devices,2016
Randa Williams,United States,54,4.1,Pipelines,2016
Jin Sook & Do Won Chang,United States,53,4,Fashion Retail,2016
James Dyson,United Kingdom,68,4,Vacuums,2016
Han Chang-Woo,Japan,85,4,Pachinko Parlors,2016
Bertil Hult,Sweden,75,4,Education,2016
James Jannard,United States,66,4,Sunglasses,2016
Vikram Lal,India,73,4,Motorcycles,2016
Nancy Walton Laurie,United States,64,4,Wal-Mart,2016
Iskander Makhmudov,Russia,52,4,"Mining, Metals, Machinery",2016
Terrence Pegula,United States,65,4,Natural Gas,2016
Jerry Speyer,United States,75,4,Real Estate,2016
Leonard Stern,United States,77,4,Real Estate,2016
Lucio Tan,Philippines,81,4,Diversified,2016
Shari Arison,Israel,58,3.9,Carnival Cruises,2016
Leonid Fedun,Russia,59,3.9,Oil,2016
Frits Goldschmeding,Netherlands,82,3.9,Temp Agency,2016
Martha Ingram,United States,80,3.9,"Book Distribution, Transportation",2016
"Rupert Johnson, Jr.",United States,74,3.9,Money Management,2016
Edwin Leong,Hong Kong,64,3.9,Real Estate,2016
Mary Alice Dorrance Malone,United States,66,3.9,Campbell Soup,2016
John Sall,United States,67,3.9,Software,2016
Jeffrey Skoll,United States,51,3.9,Ebay,2016
Sheldon Solow,United States,87,3.9,Real Estate,2016
Zhou Jianping,China,55,3.9,Apparel,2016
Heinz-Georg Baus,Germany,82,3.8,Home Improvement Stores,2016
Denise Coates,United Kingdom,48,3.8,Online Gambling,2016
Traudl Engelhorn,Germany,n/a,3.8,Pharmaceuticals/Medical Equipment,2016
Ursula Engelhorn,Germany,n/a,3.8,Pharmaceuticals/Medical Equipment,2016
Michael Herz,Germany,72,3.8,Coffee,2016
Wolfgang Herz,Germany,65,3.8,Coffee,2016
Randal Kirk,United States,62,3.8,Pharmaceuticals,2016
Niels Peter Louis-Hansen,Denmark,68,3.8,Medical Devices,2016
Fredrik Lundberg,Sweden,64,3.8,"Real Estate, Investments",2016
John Morris,United States,67,3.8,Sporting Goods Retail,2016
"H. Ross Perot, Sr.",United States,85,3.8,"Computer Services, Real Estate",2016
Michael Pieper,Switzerland,70,3.8,Kitchen Appliances,2016
Karen Pritzker,United States,58,3.8,"Hotels, Investments",2016
Viktor Rashnikov,Russia,67,3.8,Steel,2016
Leandro Rizzuto,United States,77,3.8,Consumer Products,2016
"Edward Roski, Jr.",United States,77,3.8,Real Estate,2016
"Walter Scott, Jr.",United States,84,3.8,"Utilities, Telecom",2016
Zhang Jindong,China,52,3.8,Appliance Retailer,2016
Rahel Blocher,Switzerland,40,3.7,Chemicals,2016
Vanich Chaiyawan,Thailand,84,3.7,"Insurance, Beverages",2016
Juan Carlos Escotet,Venezuela,56,3.7,Banking,2016
Phillip Frost,United States,79,3.7,Pharmaceuticals,2016
Hui Wing Mau,Hong Kong,65,3.7,Real Estate,2016
"Jeremy Jacobs, Sr.",United States,76,3.7,Sports Concessions,2016
Nathan Kirsh,Swaziland,84,3.7,"Retail, Real Estate",2016
Kwon Hyuk-Bin,South Korea,42,3.7,Online Games,2016
Magdalena Martullo-Blocher,Switzerland,47,3.7,Chemicals,2016
Axel Oberwelland,Germany,49,3.7,Candy,2016
Idan Ofer,Israel,60,3.7,"Drilling, Shipping",2016
Horst Paulmann,Chile,81,3.7,Retail,2016
Nassef Sawiris,Egypt,55,3.7,"Construction, Chemicals",2016
George Ty,Philippines,83,3.7,Banking,2016
Alexander Abramov,Russia,57,3.6,"Steel, Mining",2016
Martin & Olivier Bouygues,France,n/a,3.6,"Construction, Media",2016
Subhash Chandra,India,65,3.6,Media,2016
Archie Aldis Emmerson,United States,86,3.6,"Timberland, Lumber Mills",2016
Andrei Guriev,Russia,55,3.6,Fertilizers,2016
Elizabeth Holmes,United States,32,3.6,Blood Testing,2016
Masatoshi Ito,Japan,91,3.6,Retail,2016
Dominika & Sebastian Kulczyk,Poland,n/a,3.6,Diversified,2016
Siegfried Meister,Germany,77,3.6,Appliances,2016
Gwendolyn Sontheim Meyer,United States,54,3.6,Cargill,2016
Anthony Pratt,Australia,55,3.6,Manufacturing,2016
Steven Rales,United States,64,3.6,Manufacturing,2016
Ira Rennert,United States,81,3.6,Investments,2016
"Julian Robertson, Jr.",United States,84,3.6,Hedge Funds,2016
Harry Stine,United States,74,3.6,Agriculture,2016
Ronda Stryker,United States,61,3.6,Medical Equipment,2016
Lottie Tham,Sweden,66,3.6,H&M,2016
Frank Wang,China,35,3.6,Drones,2016
Gautam Adani,India,53,3.5,"Commodities, Infrastructure",2016
Michael Ashley,United Kingdom,51,3.5,Sports Retailing,2016
Benu Gopal Bangur,India,84,3.5,Cement,2016
Peter Buck,United States,85,3.5,Subway Sandwich Shops,2016
Rick Caruso,United States,57,3.5,Real Estate,2016
Dan Friedkin,United States,51,3.5,Toyota Dealerships,2016
Antti Herlin,Finland,59,3.5,"Elevators, Escalators",2016
Kieu Hoang,United States,71,3.5,Pharmaceuticals,2016
Savitri Jindal,India,65,3.5,Steel,2016
Ronald Lauder,United States,72,3.5,Est_e Lauder,2016
Liang Wengen,China,59,3.5,Construction Equipment,2016
Masahiro Miki,Japan,60,3.5,Retail,2016
Igor Olenicoff,United States,73,3.5,Real Estate,2016
James Packer,Australia,48,3.5,Casinos,2016
Pan Zhengmin,China,46,3.5,Electronics,2016
Pankaj Patel,India,62,3.5,Pharmaceuticals,2016
Isaac Perlmutter,United States,73,3.5,Marvel Comics,2016
"Robert Rich, Jr.",United States,75,3.5,Frozen Foods,2016
Haim Saban,United States,71,3.5,"TV Network, Investments",2016
Steven Spielberg,United States,69,3.5,Movies,2016
Keiichiro Takahara,Japan,84,3.5,Diapers,2016
Steven Udvar-Hazy,United States,70,3.5,Aircraft Leasing,2016
Wang Wenxue,China,48,3.5,Real Estate,2016
Zhang Shiping,China,68,3.5,Aluminum Products,2016
Prince Sultan bin Mohammed bin Saud Al Kabeer,Saudi Arabia,62,3.4,Dairy Farms,2016
Isak Andic,Spain,62,3.4,Clothing Retail,2016
