name,wealth,age,source,country,year
Lukas Walton,11.3,30,Wal-Mart,United States,2017
Hasso Plattner,11.2,73,software,Germany,2017
Eric Schmidt,11.1,61,Google,United States,2017
Luis Carlos Sarmiento,11,84,banking,Colombia,2017
David Tepper,11,59,hedge funds,United States,2017
Udo & Harald Tschira,11,n/a,software,Germany,2017
Alberto Bailleres Gonzalez,10.8,85,mining,Mexico,2017
Dustin Moskovitz,10.7,32,Facebook,United States,2017
Majid Al Futtaim,10.6,n/a,"real estate, retail",United Arab Emirates,2017
Peter Woo,10.5,70,real estate,Hong Kong,2017
Andrew Beal,10.4,64,"banks, real estate",United States,2017
Hui Ka Yan,10.2,58,real estate,China,2017
"John Menard, Jr.",10.2,77,home improvement stores,United States,2017
Reinhold Wuerth,10,81,fasteners,Germany,2017
John Fredriksen,9.9,72,shipping,Cyprus,2017
Dhanin Chearavanont,9.7,77,diversified,Thailand,2017
Kumar Birla,9.5,49,commodities,India,2017
Graeme Hart,9.5,61,investments,New Zealand,2017
Massimiliana Landini Aleotti,9.5,74,pharmaceuticals,Italy,2017
Galen Weston,9.5,76,retail,Canada,2017
James Goodnight,9.4,74,software,United States,2017
German Khan,9.3,55,"oil, banking, telecom",Russia,2017
Roman Abramovich,9.1,50,"steel, investments",Russia,2017
R. Budi Hartono,9,76,"banking, tobacco",Indonesia,2017
Dietmar Hopp,9,76,software,Germany,2017
Jan Koum,9,41,WhatsApp,United States,2017
James Ratcliffe,9,64,chemicals,United Kingdom,2017
Yang Huiyan,9,35,real estate,China,2017
Michael Hartono,8.9,77,"banking, tobacco",Indonesia,2017
Leonard Lauder,8.9,80,Estee Lauder,United States,2017
Eyal Ofer,8.9,66,"real estate, shipping",Israel,2017
Mikhail Prokhorov,8.9,51,investments,Russia,2017
"Thomas Frist, Jr.",8.8,78,health care,United States,2017
Robert & Philip Ng,8.7,n/a,real estate,Singapore,2017
Ernesto Bertarelli,8.6,51,"biotech, investments",Switzerland,2017
Patrick Soon-Shiong,8.6,64,pharmaceuticals,United States,2017
Harry Triguboff,8.5,84,property,Australia,2017
Yao Zhenhua,8.4,47,conglomerate,China,2017
Zhang Zhidong,8.4,45,internet media,China,2017
Viktor Rashnikov,8.3,68,steel,Russia,2017
Charles Schwab,8.3,79,discount brokerage,United States,2017
Shahid Khan,8.2,66,auto parts,United States,2017
Mohammed Al Amoudi,8.1,70,"oil, diversified",Saudi Arabia,2017
Micky Arison,8.1,67,Carnival Cruises,United States,2017
James Chambers,8.1,59,media,United States,2017
Xavier Niel,8.1,49,"internet, telecom",France,2017
Cyrus Poonawalla,8.1,75,vaccines,India,2017
Katharine Rayner,8.1,72,media,United States,2017
Margaretta Taylor,8.1,74,media,United States,2017
Ken Griffin,8,48,hedge funds,United States,2017
"Herbert Kohler, Jr.",8,78,plumbing fixtures,United States,2017
Uday Kotak,8,58,banking,India,2017
Pierre Omidyar,8,49,eBay,United States,2017
George Kaiser,7.9,74,"oil & gas, banking",United States,2017
John Paulson,7.9,61,hedge funds,United States,2017
Eduardo Saverin,7.9,35,Facebook,Brazil,2017
"Edward Johnson, III.",7.8,86,money management,United States,2017
Eli Broad,7.7,83,investments,United States,2017
Heinrich Deichmann,7.7,54,footwear,Germany,2017
Liu Qiangdong,7.7,42,e-commerce,China,2017
John Malone,7.7,76,cable television,United States,2017
Michael Otto,7.7,73,"retail, real estate",Germany,2017
Walter Droege,7.6,64,consulting,Germany,2017
James Irving,7.6,89,diversified,Canada,2017
Aloys Wobben,7.6,65,wind turbines,Germany,2017
Gianluigi & Rafaela Aponte,7.5,n/a,shipping,Switzerland,2017
Terry Gou,7.5,66,electronics,Taiwan,2017
Stanley Kroenke,7.5,69,"sports, real estate",United States,2017
Sunil Mittal,7.5,59,telecom,India,2017
Carl Cook,7.4,54,medical devices,United States,2017
Stephen Ross,7.4,76,real estate,United States,2017
August von Finck,7.4,87,investments,Germany,2017
Zhou Qunfei,7.4,47,smartphone screens,Hong Kong,2017
David Geffen,7.3,74,"movies, record labels",United States,2017
Walter Kwok,7.3,66,real estate,Hong Kong,2017
Gordon Moore,7.3,88,Intel,United States,2017
Dmitry Rybolovlev,7.3,50,fertilizer,Russia,2017
Johann Graf,7.2,70,gambling,Austria,2017
Richard Kinder,7.2,72,pipelines,United States,2017
Alexei Kuzmichev,7.2,54,"oil, banking, telecom",Russia,2017
Hank & Doug Meijer,7.2,n/a,supermarkets,United States,2017
Zong Qinghou,7.2,71,beverages,China,2017
Silvio Berlusconi,7,80,media,Italy,2017
Nicky Oppenheimer,7,71,diamonds,South Africa,2017
Andrei Skoch,6.9,51,steel,Russia,2017
Abdulla bin Ahmad Al Ghurair,6.8,n/a,diversified,United Arab Emirates,2017
Sergei Galitsky,6.8,49,retail,Russia,2017
Pauline MacMillan Keinath,6.8,83,Cargill,United States,2017
Lei Jun,6.8,47,smartphones,China,2017
Frederik Paulsen,6.8,66,health care,Sweden,2017
Quek Leng Chan,6.8,75,"banking, property",Malaysia,2017
Melker Schorling,6.8,69,investments,Sweden,2017
David Duffield,6.7,76,business software,United States,2017
Michael Kadoorie,6.7,75,"hotels, energy",Hong Kong,2017
Li Shufu,6.7,53,automobiles,China,2017
Sandra Ortega Mera,6.7,48,Zara,Spain,2017
Suh Kyung-Bae,6.7,54,cosmetics,South Korea,2017
Zhang Shiping,6.7,70,aluminum products,China,2017
Giorgio Armani,6.6,82,luxury goods,Italy,2017
John Grayken,6.6,60,private equity,Ireland,2017
Liu Yongxing,6.6,68,agribusiness,China,2017
Xu Shihui,6.6,59,"snacks, beverages",China,2017
Goh Cheng Liang,6.5,89,paints,Singapore,2017
Bruce Halle,6.5,86,tires,United States,2017
Ananda Krishnan,6.5,78,"telecoms, media, oil-services",Malaysia,2017
Richard LeFrak,6.5,71,real estate,United States,2017
Iskander Makhmudov,6.5,53,"mining, metals, machinery",Russia,2017
John A. Sobrato,6.4,77,real estate,United States,2017
Les Wexner,6.4,79,retail,United States,2017
Garrett Camp,6.3,38,Uber Technologies,Canada,2017
Leonid Fedun,6.3,60,oil,Russia,2017
Guo Guangchang,6.3,50,conglomerate,China,2017
Mikhail Gutseriev,6.3,59,"oil, real estate",Russia,2017
Travis Kalanick,6.3,40,Uber,United States,2017
Suleiman Kerimov,6.3,51,investments,Russia,2017
Carrie Perrodo,6.3,66,oil,France,2017
Anders Holch Povlsen,6.3,44,fashion retail,Denmark,2017
David Green,6.2,75,retail,United States,2017
Robert Rowling,6.2,63,investments,United States,2017
Tsai Eng-Meng,6.2,60,"food, beverages",Taiwan,2017
Jorn Rausing,6.1,57,packaging,Sweden,2017
Johann Rupert,6.1,66,luxury goods,South Africa,2017
Marian Ilitch,6,84,"pizza, sports team",United States,2017
Ann Walton Kroenke,6,68,Wal-Mart,United States,2017
Jay Y. Lee,6,48,Samsung,South Korea,2017
Pan Zhengmin,6,47,electronics,China,2017
Finn Rausing,6,62,packaging,Sweden,2017
Kirsten Rausing,6,64,packaging,Sweden,2017
Dennis Washington,6,82,"construction, mining",United States,2017
Xu Chuanhua,6,82,"chemicals, logistics",China,2017
Francis Choi,5.9,69,real estate,Hong Kong,2017
Erivan Haub,5.9,84,retail,Germany,2017
Wei Jianjun,5.9,53,automobiles,China,2017
Gautam Adani,5.8,54,"commodities, ports",India,2017
Mike Adenuga,5.8,63,"telecom, oil",Nigeria,2017
Maria Asuncion Aramburuzabala,5.8,53,"beer, investments",Mexico,2017
Daniel Gilbert,5.8,55,Quicken Loans,United States,2017
"John Gokongwei, Jr.",5.8,90,diversified,Philippines,2017
Gong Hongjia,5.8,52,investments,Hong Kong,2017
Charles Johnson,5.8,84,money management,United States,2017
Ian & Richard Livingstone,5.8,n/a,real estate,United Kingdom,2017
Hiroshi Mikitani,5.8,52,online retail,Japan,2017
Augusto & Giorgio Perfetti,5.8,n/a,candy,Italy,2017
Joseph Tsai,5.8,53,e-commerce,Canada,2017
Dannine Avara,5.7,53,pipelines,United States,2017
Scott Duncan,5.7,34,pipelines,United States,2017
Andrew Forrest,5.7,55,mining,Australia,2017
Milane Frantz,5.7,47,pipelines,United States,2017
Lu Guanqiu,5.7,72,conglomerate,China,2017
Ludwig Merckle,5.7,52,pharmaceuticals,Germany,2017
Randa Williams,5.7,55,pipelines,United States,2017
Yan Zhi,5.7,44,real estate,China,2017
Brian Acton,5.6,45,WhatsApp,United States,2017
Chan Laiwa,5.6,76,real estate,China,2017
Richard DeVos,5.6,91,Amway,United States,2017
Eva Gonda de Rivera,5.6,n/a,beverages,Mexico,2017
Joe Lewis,5.6,80,investments,United Kingdom,2017
Frank Lowy,5.6,86,shopping malls,Australia,2017
Whitney MacMillan,5.6,87,Cargill,United States,2017
Jim Pattison,5.6,88,diversified,Canada,2017
Emanuele (Lino) Saputo,5.6,80,cheese,Canada,2017
Nassef Sawiris,5.6,56,"construction, chemicals",Egypt,2017
Stef Wertheimer,5.6,90,metalworking tools,Israel,2017
Christoffel Wiese,5.6,75,retail,South Africa,2017
Leon Black,5.5,65,private equity,United States,2017
Antonia Johnson,5.5,73,diversified,Sweden,2017
Bruce Kovner,5.5,72,hedge funds,United States,2017
Ralph Lauren,5.5,77,Ralph Lauren,United States,2017
Lin Yu-lin,5.5,81,real estate,Taiwan,2017
Shashi & Ravi Ruia,5.5,n/a,diversified,India,2017
Hansjoerg Wyss,5.5,82,medical devices,Switzerland,2017
Hui Wing Mau,5.4,66,real estate,Hong Kong,2017
Vikram Lal,5.4,75,motorcycles,India,2017
Sri Prakash Lohia,5.4,64,polyester,Indonesia,2017
Sumner Redstone,5.4,93,media,United States,2017
David Shaw,5.4,65,hedge funds,United States,2017
Christy Walton,5.4,68,Wal-Mart,United States,2017
Guenther Fielmann,5.3,77,optometry,Germany,2017
Law Kar Po,5.3,68,real estate,Hong Kong,2017
Ted Lerner,5.3,91,real estate,United States,2017
Margarita Louis-Dreyfus,5.3,54,commodities,Switzerland,2017
George Lucas,5.3,72,Star Wars,United States,2017
Trevor Rees-Jones,5.3,65,oil & gas,United States,2017
Odd Reitan,5.3,65,"retail, real estate",Norway,2017
David Sun,5.3,65,computer hardware,United States,2017
John Tu,5.3,75,computer hardware,United States,2017
Benu Gopal Bangur,5.2,85,cement,India,2017
Juan Francisco Beckmann Vidal,5.2,77,tequila,Mexico,2017
Vincent Bollore,5.2,64,investments,France,2017
John Doerr,5.2,65,venture capital,United States,2017
Israel Englander,5.2,68,hedge funds,United States,2017
Savitri Jindal,5.2,67,steel,India,2017
Jerry Jones,5.2,74,Dallas Cowboys,United States,2017
Tom & Judy Love,5.2,80,retail & gas stations,United States,2017
Wolfgang Marguerre,5.2,76,pharmaceuticals,Germany,2017
Arnon Milchan,5.2,72,movie making,Israel,2017
Pankaj Patel,5.2,64,pharmaceuticals,India,2017
Maria-Elisabeth Schaeffler,5.2,75,auto parts,Germany,2017
Jim Davis,5.1,73,New Balance,United States,2017
Oleg Deripaska,5.1,49,"aluminum, utilities",Russia,2017
Ivan Glasenberg,5.1,60,mining,Switzerland,2017
"Rupert Johnson, Jr.",5.1,76,money management,United States,2017
Robert Kraft,5.1,75,New England Patriots,United States,2017
Kwee family,5.1,72,Real Estate,Singapore,2017
Steven Rales,5.1,65,manufacturing,United States,2017
Juan Roig,5.1,67,supermarkets,Spain,2017
Bruno Schroder,5.1,84,banking,United Kingdom,2017
David & Frederick Barclay,5,83,"media, retail",United Kingdom,2017
Pierre Bellon,5,87,food services,France,2017
Richard Branson,5,66,Virgin,United Kingdom,2017
Tamara Gustavson,5,55,self storage,United States,2017
Henry Kravis,5,73,private equity,United States,2017
Dan Olsson,5,70,diversified,Sweden,2017
George Roberts,5,73,private equity,United States,2017
"Edward Roski, Jr.",5,78,real estate,United States,2017
Wee Cho Yaw,5,88,banking,Singapore,2017
Sam Zell,5,75,"real estate, private equity",United States,2017
Shari Arison,4.9,59,Carnival Cruises,Israel,2017
Pollyanna Chu,4.9,58,financial services,Hong Kong,2017
Chung Mong-Koo,4.9,79,motor vehicles,South Korea,2017
Albert Frere,4.9,91,investments,Belgium,2017
Kwon Hyuk-Bin,4.9,43,online games,South Korea,2017
Philip & Cristina Green,4.8,65,fashion retail,United Kingdom,2017
Ray Lee Hunt,4.8,73,"oil, real estate",United States,2017
Willi & Isolde Liebherr,4.8,n/a,construction,Switzerland,2017
Lu Zhiqiang,4.8,64,real estate,China,2017
John Overdeck,4.8,47,hedge funds,United States,2017
David Siegel,4.8,55,hedge funds,United States,2017
Daniel Ziff,4.8,45,investments,United States,2017
Dirk Ziff,4.8,52,investments,United States,2017
Robert Ziff,4.8,50,investments,United States,2017
Stanley Druckenmiller,4.7,63,hedge funds,United States,2017
Desh Bandhu Gupta,4.7,79,pharmaceuticals,India,2017
"Paul Tudor Jones, II.",4.7,62,hedge funds,United States,2017
Lee Shin Cheng,4.7,78,"palm oil, property",Malaysia,2017
Denis O'Brien,4.7,58,telecom,Ireland,2017
Pan Sutong,4.7,53,"real estate, finance",Hong Kong,2017
Horst Paulmann,4.7,82,retail,Chile,2017
Alejandro Santo Domingo,4.7,40,beer,United States,2017
Andres Santo Domingo,4.7,38,beer,United States,2017
Thomas Schmidheiny,4.7,71,cement,Switzerland,2017
Hong Piow Teh,4.7,87,banking,Malaysia,2017
Rinat Akhmetov,4.6,50,"steel, coal",Ukraine,2017
Pyotr Aven,4.6,62,"oil, banking, telecom",Russia,2017
Rahel Blocher,4.6,41,chemicals,Switzerland,2017
Charles Dolan,4.6,90,cable television,United States,2017
Laurence Graff,4.6,78,diamond jewelry,United Kingdom,2017
Liu Yonghao,4.6,65,agribusiness,China,2017
Chairul Tanjung,4.6,54,diversified,Indonesia,2017
Zhao Tao,4.6,51,pharmaceuticals,Singapore,2017
Alexander Abramov,4.5,58,"steel, mining",Russia,2017
Clive Calder,4.5,70,record label,United Kingdom,2017
Andrei Guriev,4.5,57,fertilizers,Russia,2017
Arthur Irving,4.5,87,oil,Canada,2017
Bidzina Ivanishvili,4.5,61,investments,Georgia,2017
Micky Jagtiani,4.5,65,retail,India,2017
Karl-Heinz Kipp,4.5,93,retail,Germany,2017
Magdalena Martullo-Blocher,4.5,48,chemicals,Switzerland,2017
Michael Platt,4.5,49,hedge funds,United Kingdom,2017
Sergei Popov,4.5,45,banking,Russia,2017
Mitchell Rales,4.5,60,"manufacturing, investments",United States,2017
Leandro Rizzuto,4.5,78,consumer products,United States,2017
John Sall,4.5,68,software,United States,2017
Mark Scheinberg,4.5,43,online gambling,Canada,2017
Andreas von Bechtolsheim,4.5,61,Google,Germany,2017
Kelcy Warren,4.5,61,pipelines,United States,2017
Wu Yajun,4.5,53,real estate,China,2017
M.A. Yusuff Ali,4.5,61,retail,India,2017
Americo Amorim,4.4,82,"energy, investments",Portugal,2017
Dona Bertarelli,4.4,49,biotech,Switzerland,2017
Subhash Chandra,4.4,66,media,India,2017
Frits Goldschmeding,4.4,83,temp agency,Netherlands,2017
Michael Herz,4.4,73,coffee,Germany,2017
Wolfgang Herz,4.4,66,coffee,Germany,2017
Richard Li,4.4,50,telecom,Hong Kong,2017
Akira Mori,4.4,80,real estate,Japan,2017
Axel Oberwelland,4.4,50,candy,Germany,2017
Anthony Pratt,4.4,56,packaging,Australia,2017
Karen Pritzker,4.4,59,"hotels, investments",United States,2017
Paolo & Gianfelice Mario Rocca,4.4,n/a,pipe manufacturing,Italy,2017
Reinhold Schmieding,4.4,62,medical devices,United States,2017
Sheldon Solow,4.4,88,real estate,United States,2017
Ronda Stryker,4.4,62,medical equipment,United States,2017
Tong Jinquan,4.4,62,real estate,China,2017
Wang Wenxue,4.4,49,real estate,China,2017
Jeffery Hildebrand,4.3,58,oil,United States,2017
"Jeremy Jacobs, Sr.",4.3,77,concessions,United States,2017
Kim Jung-Ju,4.3,49,online games,South Korea,2017
Andrei Kozitsyn,4.3,56,metals,Russia,2017
Nancy Walton Laurie,4.3,65,Wal-Mart,United States,2017
Gwendolyn Sontheim Meyer,4.3,55,Cargill,United States,2017
Elisabeth Mohn,4.3,76,publishing,Germany,2017
Jeffrey Skoll,4.3,52,eBay,United States,2017
Frederick Smith,4.3,72,FedEx,United States,2017
Sun Piaoyang,4.3,58,pharmaceuticals,China,2017
Martin Viessmann,4.3,63,heating equipment,Germany,2017
Yeung Kin-man,4.3,n/a,electronics,Hong Kong,2017
Jeronimo Arango,4.2,91,retail,Mexico,2017
David Cheriton,4.2,65,Google,Canada,2017
James Dyson,4.2,69,vacuums,United Kingdom,2017
Pansy Ho,4.2,54,casinos,Hong Kong,2017
Martha Ingram,4.2,81,"book distribution, transportation",United States,2017
Michel Leclercq,4.2,77,sporting goods,France,2017
Theo Mueller,4.2,77,dairy,Germany,2017
Michael Pieper,4.2,71,kitchen appliances,Switzerland,2017
Vichai Srivaddhanaprabha,4.2,59,duty-free,Thailand,2017
Leonard Stern,4.2,78,real estate,United States,2017
Keiichiro Takahara,4.2,86,diapers,Japan,2017
Wang Chuanfu,4.2,51,"batteries, automobiles",China,2017
Samuel Yin,4.2,66,diversified,Taiwan,2017
Abdulla Al Futtaim,4.1,n/a,"auto dealers, investments",United Arab Emirates,2017
Suhail Bahwan,4.1,78,diversified,Oman,2017
Lam Wai Ying,4.1,n/a,smartphone screens,Hong Kong,2017
Angela Leong,4.1,56,casinos,Hong Kong,2017
Fredrik Lundberg,4.1,65,"real estate, investments",Sweden,2017
Ma Jianrong,4.1,53,"textiles, apparel",China,2017
Gabe Newell,4.1,54,videogames,United States,2017
Terrence Pegula,4.1,65,natural gas,United States,2017
Ira Rennert,4.1,82,investments,United States,2017
J. Christopher Reyes,4.1,63,food distribution,United States,2017
Jude Reyes,4.1,61,food distribution,United States,2017
Kushal Pal Singh,4.1,85,real estate,India,2017
Xu Bo,4.1,39,mobile games,China,2017
Zhang Jindong,4.1,53,appliance retailer,China,2017
Robert Bass,4,69,"oil, investments",United States,2017
Marc Benioff,4,52,business software,United States,2017
Jean-Michel Besnier,4,49,cheese,France,2017
Marie Besnier Beauvalot,4,36,cheese,France,2017
John Gandel,4,82,shopping malls,Australia,2017
Bertil Hult,4,76,education,Sweden,2017
James Jannard,4,67,sunglasses,United States,2017
Jason Jiang,4,44,advertising,China,2017
Patrick Lee,4,74,paper,Hong Kong,2017
Bernard Marcus,4,87,Home Depot,United States,2017
Alain Merieux,4,79,pharmaceuticals,France,2017
John Morris,4,69,sporting goods retail,United States,2017
Bobby Murphy,4,28,Snapchat,United States,2017
Isaac Perlmutter,4,74,Marvel comics,United States,2017
"H. Ross Perot, Sr.",4,86,"computer services, real estate",United States,2017
Stewart and Lynda Resnick,4,n/a,"agriculture, water",United States,2017
"Robert Rich, Jr.",4,76,frozen foods,United States,2017
Evan Spiegel,4,26,Snapchat,United States,2017
Russ Weiner,4,46,energy drinks,United States,2017
"Austen Cargill, II.",3.9,66,Cargill,United States,2017
"James Cargill, II.",3.9,67,Cargill,United States,2017
Vanich Chaiyawan,3.9,85,"insurance, beverages",Thailand,2017
Traudl Engelhorn,3.9,n/a,"pharmaceuticals, medical equipment",Germany,2017
Diane Hendricks,3.9,70,roofing,United States,2017
Ji Changqun,3.9,49,real estate,China,2017
Nathan Kirsh,3.9,85,"retail, real estate",Swaziland,2017
Marianne Liebmann,3.9,63,Cargill,United States,2017
Luo Jye,3.9,91,tires,Taiwan,2017
Mary Alice Dorrance Malone,3.9,67,Campbell Soup,United States,2017
Ermirio Pereira de Moraes,3.9,84,diversified,Brazil,2017
Maria Helena Moraes Scripilliti,3.9,86,diversified,Brazil,2017
Naguib Sawiris,3.9,62,telecom,Egypt,2017
Friede Springer,3.9,74,publishing,Germany,2017
Prince Sultan bin Mohammed bin Saud Al Kabeer,3.8,63,dairy farms,Saudi Arabia,2017
Stephen Bisciotti,3.8,56,"staffing, Baltimore Ravens",United States,2017
Nathan Blecharczyk,3.8,33,Airbnb,United States,2017
Rick Caruso,3.8,58,real estate,United States,2017
Bubba Cathy,3.8,62,Chick-Fil-A,United States,2017
Dan Cathy,3.8,64,Chick-Fil-A,United States,2017
Brian Chesky,3.8,35,Airbnb,United States,2017
Giuseppe De'Longhi,3.8,77,coffee makers,Italy,2017
Ralph Dommermuth,3.8,53,internet service provider,Germany,2017
Joe Gebbia,3.8,35,Airbnb,United States,2017
Jia Yueting,3.8,44,online video,China,2017
H. Fisk Johnson,3.8,58,cleaning products,United States,2017
Imogene Powers Johnson,3.8,86,cleaning products,United States,2017
S. Curtis Johnson,3.8,61,cleaning products,United States,2017
Helen Johnson-Leipold,3.8,60,cleaning products,United States,2017
Winnie Johnson-Marquart,3.8,57,cleaning products,United States,2017
Barry Lam,3.8,67,electronics,Taiwan,2017
Liang Wengen,3.8,60,construction equipment,China,2017
Niels Peter Louis-Hansen,3.8,69,medical devices,Denmark,2017
Kalanithi Maran,3.8,51,media,India,2017
Jose Roberto Marinho,3.8,61,media,Brazil,2017
Roberto Irineu Marinho,3.8,69,media,Brazil,2017
Clayton Mathile,3.8,76,pet food,United States,2017
Siegfried Meister,3.8,78,appliances,Germany,2017
"Julian Robertson, Jr.",3.8,84,hedge funds,United States,2017
"Walter Scott, Jr.",3.8,85,"utilities, telecom",United States,2017
Joan Tisch,3.8,89,diversified,United States,2017
Martin & Olivier Bouygues,3.7,n/a,"construction, media",France,2017
Archie Aldis Emmerson,3.7,87,"timberland, lumber mills",United States,2017
