name,wealth,age,source,country,year
Len Blavatnik,20.2,60,diversified,United States,2018
He Xiangjian,20.1,75,home appliances,China,2018
Lui Che Woo,20.1,88,casinos,Hong Kong,2018
James Simons,20,79,hedge funds,United States,2018
Henry Sy,20,93,diversified,Philippines,2018
Elon Musk,19.9,46,Tesla Motors,United States,2018
Hinduja family,19.5,-,diversified,United Kingdom,2018
Tadashi Yanai,19.5,69,fashion retail,Japan,2018
Vladimir Lisin,19.1,61,"steel, transport",Russia,2018
Laurene Powell Jobs,18.8,54,"Apple, Disney",United States,2018
Azim Premji,18.8,72,software services,India,2018
Alexey Mordashov,18.7,52,"steel, investments",Russia,2018
Lee Kun-Hee,18.6,76,Samsung,South Korea,2018
Lakshmi Mittal,18.5,67,steel,India,2018
Wang Wei,18.2,48,package delivery,China,2018
Leonid Mikhelson,18,62,"gas, chemicals",Russia,2018
Charoen Sirivadhanabhakdi,17.9,73,"drinks, real estate",Thailand,2018
Pallonji Mistry,17.8,88,construction,Ireland,2018
Ray Dalio,17.7,68,hedge funds,United States,2018
Takemitsu Takizaki,17.5,72,sensors,Japan,2018
William Ding,17.4,46,online games,China,2018
R. Budi Hartono,17.4,77,"banking, tobacco",Indonesia,2018
Gina Rinehart,17.4,64,mining,Australia,2018
German Larrea Mota Velasco,17.3,64,mining,Mexico,2018
Carl Icahn,16.8,82,investments,United States,2018
Stefan Persson,16.8,70,H&M,Sweden,2018
Michael Hartono,16.7,78,"banking, tobacco",Indonesia,2018
Joseph Lau,16.7,66,real estate,Hong Kong,2018
Thomas & Raymond Kwok,16.5,-,real estate,Hong Kong,2018
Vagit Alekperov,16.4,67,oil,Russia,2018
James Ratcliffe,16.4,65,chemicals,United Kingdom,2018
Donald Bren,16.3,85,real estate,United States,2018
Iris Fontbona,16.3,75,mining,Chile,2018
Gennady Timchenko,16,65,"oil, gas",Russia,2018
Abigail Johnson,15.9,56,money management,United States,2018
Vladimir Potanin,15.9,57,metals,Russia,2018
Lukas Walton,15.9,31,Walmart,United States,2018
Charlene de Carvalho-Heineken,15.8,63,Heineken,Netherlands,2018
Zhang Zhidong,15.6,46,internet media,China,2018
Petr Kellner,15.5,53,banking,Czech Republic,2018
Andrey Melnichenko,15.5,45,"coal, fertilizers",Russia,2018
David & Simon Reuben,15.5,-,"investments, real estate",United Kingdom,2018
Klaus-Michael Kuehne,15.3,80,shipping,Germany,2018
Li Shufu,15.3,54,automobiles,China,2018
Mikhail Fridman,15.1,53,"oil, banking, telecom",Russia,2018
Rupert Murdoch,15,86,"newspapers, TV network",United States,2018
Dhanin Chearavanont,14.9,78,diversified,Thailand,2018
Robert Kuok,14.8,94,"palm oil, shipping, property",Malaysia,2018
Emmanuel Besnier,14.7,47,cheese,France,2018
Shiv Nadar,14.6,72,software services,India,2018
Viktor Vekselberg,14.4,60,"metals, energy",Russia,2018
Aliko Dangote,14.1,60,"cement, sugar, flour",Nigeria,2018
Harold Hamm,14.1,72,oil & gas,United States,2018
Steve Cohen,14,61,hedge funds,United States,2018
Dustin Moskovitz,14,33,Facebook,United States,2018
Marcel Herrmann Telles,14,68,beer,Brazil,2018
Reinhold Wuerth,13.6,82,fasteners,Germany,2018
Charles Ergen,13.4,65,satellite TV,United States,2018
Eric Schmidt,13.4,62,Google,United States,2018
Philip Anschutz,13,78,investments,United States,2018
Jim Kennedy,13,70,media,United States,2018
Blair Parry-Okeden,13,67,media,United States,2018
Alain Wertheimer,13,69,Chanel,France,2018
Gerard Wertheimer,13,67,Chanel,France,2018
Leonard Lauder,12.9,80,Estee Lauder,United States,2018
Heinz Hermann Thiele,12.9,76,brakes,Germany,2018
Dilip Shanghvi,12.8,62,pharmaceuticals,India,2018
Hasso Plattner,12.7,74,software,Germany,2018
Stephen Schwarzman,12.6,71,investments,United States,2018
Lei Jun,12.5,48,smartphones,China,2018
Hans Rausing,12.5,91,packaging,Sweden,2018
Alisher Usmanov,12.5,64,"steel, telecom, investments",Russia,2018
Donald Newhouse,12.3,88,media,United States,2018
Peter Woo,12.2,71,real estate,Hong Kong,2018
Luis Carlos Sarmiento,12.1,85,banking,Colombia,2018
Robin Li,12,49,internet search,China,2018
Carlos Alberto Sicupira,12,70,beer,Brazil,2018
Seo Jung-Jin,11.9,60,biotech,South Korea,2018
Kumar Birla,11.8,50,commodities,India,2018
Alexander Otto,11.8,50,real estate,Germany,2018
Stefano Pessina,11.8,76,drugstores,Italy,2018
Udo & Harald Tschira,11.7,-,software,Germany,2018
Wang Wenyin,11.7,50,"mining, copper products",China,2018
Andrew Beal,11.6,65,"banks, real estate",United States,2018
Lee Man Tat,11.6,88,"Oyster sauce, real estate",Hong Kong,2018
"John Menard, Jr.",11.5,78,home improvement stores,United States,2018
Xu Shihui,11.3,60,"snacks, beverages",China,2018
Zhou Hongyi,11.3,47,security software,China,2018
Gong Hongjia,11.2,53,video surveillance,Hong Kong,2018
Michael Otto,11,74,"retail, real estate",Germany,2018
David Tepper,11,60,hedge funds,United States,2018
Roman Abramovich,10.8,51,"steel, investments",Russia,2018
Liu Qiangdong,10.8,43,e-commerce,China,2018
Robert & Philip Ng,10.8,-,real estate,Singapore,2018
Alberto Bailleres Gonzalez,10.7,86,mining,Mexico,2018
Uday Kotak,10.7,58,banking,India,2018
Pierre Omidyar,10.5,50,eBay,United States,2018
Walter P.J. Droege,10.3,65,consulting,Germany,2018
Dietmar Hopp,10.2,77,software,Germany,2018
Graeme Hart,10.1,62,investments,New Zealand,2018
Eduardo Saverin,10.1,35,Facebook,Brazil,2018
Yan Zhi,10.1,45,real estate,China,2018
Radhakishan Damani,10,63,"investments, retail",India,2018
German Khan,9.8,56,"oil, banking, telecom",Russia,2018
Ronald Perelman,9.8,75,leveraged buyouts,United States,2018
Gautam Adani,9.7,55,"commodities, ports",India,2018
Micky Arison,9.7,68,Carnival Cruises,United States,2018
Pan Zhengmin,9.7,48,electronics,China,2018
Joseph Tsai,9.7,54,e-commerce,Canada,2018
"Thomas Frist, Jr.",9.6,79,health care,United States,2018
Mikhail Prokhorov,9.6,52,investments,Russia,2018
Galen Weston,9.5,77,retail,Canada,2018
Zong Qinghou,9.5,72,beverages,China,2018
Eyal Ofer,9.4,67,"real estate, shipping",Israel,2018
Charles Schwab,9.4,80,discount brokerage,United States,2018
Gianluigi & Rafaela Aponte,9.3,77,Shipping,Switzerland,2018
"Herbert Kohler, Jr.",9.3,79,plumbing fixtures,United States,2018
Viktor Rashnikov,9.3,69,steel,Russia,2018
Harry Triguboff,9.2,85,real estate,Australia,2018
August von Finck,9.2,87,investments,Germany,2018
Yao Zhenhua,9.2,48,conglomerate,China,2018
Jan Koum,9.1,42,WhatsApp,United States,2018
Cyrus Poonawalla,9.1,76,vaccines,India,2018
James Goodnight,9,75,software,United States,2018
Ken Griffin,9,49,hedge funds,United States,2018
Giorgio Armani,8.9,83,luxury goods,Italy,2018
Ernesto Bertarelli,8.9,52,"biotech, investments",Switzerland,2018
Savitri Jindal,8.8,67,steel,India,2018
Sunil Mittal,8.8,60,telecom,India,2018
James Chambers,8.7,60,media,United States,2018
Katharine Rayner,8.7,73,media,United States,2018
Margaretta Taylor,8.7,75,media,United States,2018
Terry Gou,8.5,67,electronics,Taiwan,2018
Gordon Moore,8.5,89,Intel,United States,2018
James Irving,8.3,89,diversified,Canada,2018
Stanley Kroenke,8.3,70,"sports, real estate",United States,2018
Melker Schorling,8.2,70,investments,Sweden,2018
Johann Graf,8.1,71,gambling,Austria,2018
Guo Guangchang,8.1,51,conglomerate,China,2018
John Malone,8.1,77,cable television,United States,2018
Xavier Niel,8.1,50,"internet, telecom",France,2018
Silvio Berlusconi,8,81,media,Italy,2018
Carl Cook,8,55,medical devices,United States,2018
David Geffen,8,75,"movies, record labels",United States,2018
Hui Wing Mau,8,67,real estate,Hong Kong,2018
Walter Kwok,8,67,real estate,Hong Kong,2018
George Soros,8,87,hedge funds,United States,2018
"Edward Johnson, III.",7.9,87,money management,United States,2018
Massimiliana Landini Aleotti,7.9,75,pharmaceuticals,Italy,2018
David Duffield,7.8,77,business software,United States,2018
George Kaiser,7.8,75,"oil & gas, banking",United States,2018
Patrick Soon-Shiong,7.8,65,pharmaceuticals,United States,2018
Zhou Qunfei,7.8,48,smartphone screens,Hong Kong,2018
Nicky Oppenheimer,7.7,72,diamonds,South Africa,2018
Sun Piaoyang,7.7,59,pharmaceuticals,China,2018
Wu Yajun,7.7,54,real estate,China,2018
Alexei Kuzmichev,7.6,55,"oil, banking, telecom",Russia,2018
Stephen Ross,7.6,77,real estate,United States,2018
Vincent Bollore,7.4,65,investments,France,2018
Pauline MacMillan Keinath,7.4,84,Cargill,United States,2018
Jay Y. Lee,7.4,49,Samsung,South Korea,2018
Anders Holch Povlsen,7.4,45,fashion retail,Denmark,2018
Eli Broad,7.3,84,investments,United States,2018
Michael Kadoorie,7.3,76,"hotels, energy",Hong Kong,2018
Iskander Makhmudov,7.3,54,"mining, metals, machinery",Russia,2018
Frederik Paulsen,7.3,67,health care,Sweden,2018
Sun Hongbin,7.3,55,real estate,United States,2018
Christy Walton,7.3,69,Walmart,United States,2018
Shahid Khan,7.2,67,auto parts,United States,2018
Ananda Krishnan,7.2,79,"telecoms, media, oil-services",Malaysia,2018
Carrie Perrodo,7.2,67,oil,France,2018
Quek Leng Chan,7.2,76,"banking, property",Malaysia,2018
Wang Wenxue,7.2,50,real estate,China,2018
John Doerr,7.1,66,venture capital,United States,2018
Patrick Drahi,7.1,54,telecom,France,2018
Eva Gonda de Rivera,7.1,-,beverages,Mexico,2018
Willi & Isolde Liebherr,7.1,-,Construction,Switzerland,2018
Ricardo Salinas Pliego,7.1,62,"retail, media",Mexico,2018
Suh Kyung-Bae,7.1,55,cosmetics,South Korea,2018
Pollyanna Chu,7,59,financial services,Hong Kong,2018
John Fredriksen,7,73,shipping,Cyprus,2018
Goh Cheng Liang,7,90,paints,Singapore,2018
Sri Prakash Lohia,7,65,polyester,Indonesia,2018
Lu Zhiqiang,7,65,real estate,China,2018
Jorn Rausing,7,58,packaging,Sweden,2018
Johann Rupert,7,67,luxury goods,South Africa,2018
Jacques Saade,7,81,shipping,France,2018
Wu Shaoxun,7,62,wine,China,2018
Leonid Fedun,6.9,61,oil,Russia,2018
Kim Jung-Ju,6.9,50,online games,South Korea,2018
Sandra Ortega Mera,6.9,49,Zara,Spain,2018
Jim Pattison,6.9,89,diversified,Canada,2018
Michael Platt,6.9,49,hedge funds,United Kingdom,2018
Chan Laiwa,6.8,77,real estate,China,2018
David Green,6.8,76,retail,United States,2018
Hank & Doug Meijer,6.8,-,supermarkets,United States,2018
Dmitry Rybolovlev,6.8,51,fertilizer,Russia,2018
Tsai Eng-Meng,6.8,61,"food, beverages",Taiwan,2018
Andreas von Bechtolsheim,6.8,62,Google,Germany,2018
Oleg Deripaska,6.7,50,"aluminum, utilities",Russia,2018
Liu Yongxing,6.7,69,diversified,China,2018
Ludwig Merckle,6.7,53,pharmaceuticals,Germany,2018
Brian Acton,6.6,46,WhatsApp,United States,2018
John Grayken,6.6,61,private equity,Ireland,2018
Ann Walton Kroenke,6.6,69,Walmart,United States,2018
Augusto & Giorgio Perfetti,6.6,-,candy,Italy,2018
Finn Rausing,6.6,63,packaging,Sweden,2018
Kirsten Rausing,6.6,65,packaging,Sweden,2018
Odd Reitan,6.6,66,"retail, real estate",Norway,2018
Nassef Sawiris,6.6,57,"construction, chemicals",Egypt,2018
Wee Cho Yaw,6.6,89,banking,Singapore,2018
Aloys Wobben,6.6,66,wind turbines,Germany,2018
Leon Black,6.5,66,private equity,United States,2018
Ivan Glasenberg,6.5,61,mining,Switzerland,2018
John Paulson,6.5,62,hedge funds,United States,2018
Wei Jianjun,6.5,54,automobiles,China,2018
Francis Choi,6.4,70,real estate,Hong Kong,2018
Erivan Haub,6.4,85,retail,Germany,2018
Jason Jiang,6.4,45,advertising,China,2018
Suleiman Kerimov,6.4,51,investments,Russia,2018
Ian & Richard Livingstone,6.4,-,real estate,United Kingdom,2018
Pang Kang,6.4,62,soy sauce maker,China,2018
David Shaw,6.4,66,hedge funds,United States,2018
Kushal Pal Singh,6.4,86,real estate,India,2018
John A. Sobrato,6.4,78,real estate,United States,2018
Acharya Balkrishna,6.3,45,consumer goods,India,2018
Guenther Fielmann,6.3,78,optometry,Germany,2018
Daniel Gilbert,6.3,56,Quicken Loans,United States,2018
Antonia Johnson,6.3,74,diversified,Sweden,2018
Vikram Lal,6.3,76,motorcycles,India,2018
Akira Mori,6.3,81,real estate,Japan,2018
Maria-Elisabeth Schaeffler-Thumann,6.3,76,auto parts,Germany,2018
Albert Frere,6.2,92,investments,Belgium,2018
Richard Kinder,6.2,73,pipelines,United States,2018
Robert Kraft,6.2,76,New England Patriots,United States,2018
Ralph Lauren,6.2,78,Ralph Lauren,United States,2018
Bruno Schroder,6.2,85,banking,United Kingdom,2018
Nusli Wadia,6.2,74,consumer goods,India,2018
Pierre Bellon,6.1,88,food services,France,2018
Les Wexner,6.1,80,retail,United States,2018
Benu Gopal Bangur,6,86,cement,India,2018
David Cheriton,6,66,Google,Canada,2018
Ma Jianrong,6,54,"textiles, apparel",China,2018
Whitney MacMillan,6,88,Cargill,United States,2018
Dan Olsson,6,71,diversified,Sweden,2018
Vivek Chaand Sehgal,6,61,auto parts,Australia,2018
Teh Hong Piow,6,87,banking,Malaysia,2018
Abdulla bin Ahmad Al Ghurair,5.9,-,diversified,United Arab Emirates,2018
Maria Asuncion Aramburuzabala,5.9,54,"beer, investments",Mexico,2018
Ralph Dommermuth,5.9,54,internet service provider,Germany,2018
Frank Lowy,5.9,87,shopping malls,Australia,2018
Wolfgang Marguerre,5.9,76,pharmaceuticals,Germany,2018
Marijke Mars,5.9,53,"candy, pet food",United States,2018
Pamela Mars,5.9,57,"candy, pet food",United States,2018
Valerie Mars,5.9,59,"candy, pet food",United States,2018
Victoria Mars,5.9,61,"candy, pet food",United States,2018
David & Frederick Barclay,5.8,84,"media, retail",United Kingdom,2018
"John Gokongwei, Jr.",5.8,91,food and beverage,Philippines,2018
Kwon Hyuk-Bin,5.8,44,online games,South Korea,2018
Nancy Walton Laurie,5.8,66,Walmart,United States,2018
Lin Yu-Ling,5.8,81,real estate,Taiwan,2018
Tom & Judy Love,5.8,81,retail & gas stations,United States,2018
Robert Rowling,5.8,64,investments,United States,2018
Dennis Washington,5.8,83,"construction, mining",United States,2018
Yao Liangsong,5.8,53,furniture,China,2018
Zhang Jindong,5.8,54,appliance retailer,China,2018
Juan Francisco Beckmann Vidal,5.7,78,tequila,Mexico,2018
David Sun,5.7,66,computer hardware,United States,2018
John Tu,5.7,76,computer hardware,United States,2018
Martin Viessmann,5.7,64,heating equipment,Germany,2018
Stef Wertheimer,5.7,91,metalworking tools,Israel,2018
Hansjoerg Wyss,5.7,83,medical devices,Switzerland,2018
James Dyson,5.6,70,vacuums,United Kingdom,2018
Laurence Graff,5.6,79,diamond jewelry,United Kingdom,2018
Jen-Hsun Huang,5.6,55,semiconductors,United States,2018
Charles Johnson,5.6,85,money management,United States,2018
Jerry Jones,5.6,75,Dallas Cowboys,United States,2018
Kei Hoi Pang,5.6,52,real estate,China,2018
Kwee family,5.6,-,Real Estate,Singapore,2018
Lee Shin Cheng,5.6,79,"palm oil, property",Malaysia,2018
Richard LeFrak,5.6,72,real estate,United States,2018
Shigenobu Nagamori,5.6,73,motors,Japan,2018
Steven Rales,5.6,66,manufacturing,United States,2018
Friede Springer,5.6,75,publishing,Germany,2018
Yeung Kin-man,5.6,53,electronics,Hong Kong,2018
Rinat Akhmetov,5.5,51,"steel, coal",Ukraine,2018
Shari Arison,5.5,60,Carnival Cruises,Israel,2018
Dannine Avara,5.5,53,pipelines,United States,2018
Rahel Blocher,5.5,42,chemicals,Switzerland,2018
Andrew Currie,5.5,62,chemicals,United Kingdom,2018
Scott Duncan,5.5,35,pipelines,United States,2018
Milane Frantz,5.5,48,pipelines,United States,2018
Diane Hendricks,5.5,71,roofing,United States,2018
Magdalena Martullo-Blocher,5.5,49,chemicals,Switzerland,2018
Hiroshi Mikitani,5.5,52,online retail,Japan,2018
Gabe Newell,5.5,55,videogames,United States,2018
Pan Sutong,5.5,54,"real estate, finance",Hong Kong,2018
Anthony Pratt,5.5,57,manufacturing,Australia,2018
John Reece,5.5,61,chemicals,United Kingdom,2018
Randa Williams,5.5,56,pipelines,United States,2018
Zhang Bangxin,5.5,38,after-school tutoring,China,2018
Zhang Shiping,5.5,71,aluminum products,China,2018
Jean-Michel Besnier,5.4,50,cheese,France,2018
Marie Besnier Beauvalot,5.4,37,cheese,France,2018
Richard DeVos,5.4,92,Amway,United States,2018
Michael Herz,5.4,74,coffee,Germany,2018
Wolfgang Herz,5.4,67,coffee,Germany,2018
Kjeld Kirk Kristiansen,5.4,70,Lego,Denmark,2018
Sofie Kirk Kristiansen,5.4,42,Lego,Denmark,2018
Thomas Kirk Kristiansen,5.4,-,Lego,Denmark,2018
Lam Wai Ying,5.4,-,smartphone screens,Hong Kong,2018
Lin Xiucheng,5.4,62,electronics,China,2018
Margarita Louis-Dreyfus,5.4,55,commodities,Switzerland,2018
George Roberts,5.4,74,private equity,United States,2018
"Edward Roski, Jr.",5.4,79,real estate,United States,2018
Agnete Kirk Thinggaard,5.4,-,Lego,Denmark,2018
Mike Adenuga,5.3,64,"telecom, oil",Nigeria,2018
Jim Davis,5.3,74,New Balance,United States,2018
David Filo,5.3,51,Yahoo,United States,2018
Pansy Ho,5.3,55,casinos,Hong Kong,2018
Henry Kravis,5.3,74,private equity,United States,2018
Emanuele (Lino) Saputo,5.3,81,cheese,Canada,2018
Xu Chuanhua,5.3,83,"chemicals, logistics",China,2018
Alexander Abramov,5.2,59,"steel, mining",Russia,2018
Israel Englander,5.2,69,hedge funds,United States,2018
Frits Goldschmeding,5.2,84,temp agency,Netherlands,2018
Marian Ilitch,5.2,85,"pizza, sports team",United States,2018
Bruce Kovner,5.2,73,hedge funds,United States,2018
George Lucas,5.2,73,Star Wars,United States,2018
Kalanithi Maran,5.2,52,media,India,2018
Elisabeth Mohn,5.2,77,publishing,Germany,2018
"Robert Rich, Jr.",5.2,77,frozen foods,United States,2018
Wang Chuanfu,5.2,52,"batteries, automobiles",China,2018
Maria Fernanda Amorim,5.1,83,"energy, investments",Portugal,2018
Pyotr Aven,5.1,62,"oil, banking, telecom",Russia,2018
Bernard Marcus,5.1,88,Home Depot,United States,2018
Pedro Moreira Salles,5.1,58,"banking, minerals",Brazil,2018
Frederick Smith,5.1,73,FedEx,United States,2018
Ronda Stryker,5.1,63,medical equipment,United States,2018
Richard Branson,5,67,Virgin,United Kingdom,2018
Subhash Chandra,5,67,media,India,2018
Denise Coates,5,50,online gambling,United Kingdom,2018
Martha Ingram,5,82,"book distribution, transportation",United States,2018
Law Kar Po,5,69,real estate,Hong Kong,2018
Joe Lewis,5,81,investments,United Kingdom,2018
Gabriella Meister,5,69,appliances,Germany,2018
Fernando Roberto Moreira Salles,5,71,"banking, minerals",Brazil,2018
Joao Moreira Salles,5,56,"banking, minerals",Brazil,2018
Walther Moreira Salles Junior,5,61,"banking, minerals",Brazil,2018
Pankaj Patel,5,64,pharmaceuticals,India,2018
Karen Pritzker,5,60,"hotels, investments",United States,2018
Thomas Schmidheiny,5,72,cement,Switzerland,2018
Vichai Srivaddhanaprabha,5,60,duty-free,Thailand,2018
Keiichiro Takahara,5,86,diapers,Japan,2018
M.A. Yusuff Ali,5,62,retail,India,2018
Robert Bass,4.9,69,"oil, investments",United States,2018
Marc Benioff,4.9,53,business software,United States,2018
Martin & Olivier Bouygues,4.9,-,"construction, media",France,2018
Chung Mong-Koo,4.9,79,motor vehicles,South Korea,2018
Charles Dolan,4.9,91,cable television,United States,2018
Ray Lee Hunt,4.9,74,"oil, real estate",United States,2018
Liu Yonghao,4.9,66,agribusiness,China,2018
John Overdeck,4.9,48,hedge funds,United States,2018
Ajay Piramal,4.9,62,pharmaceuticals,India,2018
"Enrique Razon, Jr.",4.9,58,ports,Philippines,2018
Sumner Redstone,4.9,94,media,United States,2018
Paolo & Gianfelice Mario Rocca,4.9,-,pipe manufacturing,Italy,2018
Reinhold Schmieding,4.9,63,medical devices,United States,2018
David Siegel,4.9,56,hedge funds,United States,2018
Andrei Skoch,4.9,52,steel,Russia,2018
Yu Yong,4.9,57,mining,China,2018
Sam Zell,4.9,76,"real estate, private equity",United States,2018
Zhou Jianping,4.9,57,fashion retail,China,2018
Bajaj brothers,4.8,-,diversified,India,2018
Garrett Camp,4.8,39,Uber,Canada,2018
Bubba Cathy,4.8,63,Chick-fil-A,United States,2018
Dan Cathy,4.8,65,Chick-fil-A,United States,2018
Fu Liquan,4.8,50,surveillance equipment,China,2018
Philip & Cristina Green,4.8,65,fashion retail,United Kingdom,2018
Mikhail Gutseriev,4.8,59,"oil, real estate",Russia,2018
"Rupert Johnson, Jr.",4.8,77,money management,United States,2018
Travis Kalanick,4.8,41,Uber,United States,2018
Andrei Kozitsyn,4.8,57,metals,Russia,2018
Horst Paulmann,4.8,83,retail,Chile,2018
Julio Ponce Lerou,4.8,72,fertilizer,Chile,2018
Trevor Rees-Jones,4.8,66,oil & gas,United States,2018
Mark Scheinberg,4.8,44,online gambling,Canada,2018
Jeffrey Skoll,4.8,53,eBay,United States,2018
Murat Ulker,4.8,58,food,Turkey,2018
Daniel Ziff,4.8,46,investments,United States,2018
Dirk Ziff,4.8,53,investments,United States,2018
Robert Ziff,4.8,51,investments,United States,2018
Juergen Blickle,4.7,71,auto parts,Germany,2018
Bernard Broermann,4.7,74,hospitals,Germany,2018
Clive Calder,4.7,71,record label,United Kingdom,2018
Stanley Druckenmiller,4.7,64,hedge funds,United States,2018
Ted Lerner,4.7,92,real estate,United States,2018
Li Shuirong,4.7,61,petrochemicals,China,2018
Lim Kok Thay,4.7,66,casinos,Malaysia,2018
Niels Peter Louis-Hansen,4.7,70,medical devices,Denmark,2018
Fredrik Lundberg,4.7,66,"real estate, investments",Sweden,2018
Gwendolyn Sontheim Meyer,4.7,56,Cargill,United States,2018
J. Christopher Reyes,4.7,64,food distribution,United States,2018
Jude Reyes,4.7,62,food distribution,United States,2018
Alexandra Schoerghuber,4.7,59,real estate,Germany,2018
Sheldon Solow,4.7,89,real estate,United States,2018
Lucio Tan,4.7,83,diversified,Philippines,2018
Majid Al Futtaim,4.6,-,"real estate, retail",United Arab Emirates,2018
Andrej Babis,4.6,63,agriculture,Czech Republic,2018
Dona Bertarelli,4.6,50,biotech,Switzerland,2018
Cai Kui,4.6,55,real estate,China,2018
Bidzina Ivanishvili,4.6,62,investments,Georgia,2018
"Jeremy Jacobs, Sr.",4.6,78,concessions,United States,2018
Chris Larsen,4.6,57,cryptocurrency,United States,2018
Patrick Lee,4.6,75,paper,Hong Kong,2018
Liang Wengen,4.6,61,construction equipment,China,2018
Denis O'Brien,4.6,59,telecom,Ireland,2018
Kapil & Rahul Bhatia,4.5,-,airlines,India,2018
Jean-Pierre Cayard,4.5,75,spirits,France,2018
Chey Tae-Won,4.5,57,"IT, telecom",South Korea,2018
Fang Wei,4.5,44,steel,China,2018
Andrei Guriev,4.5,57,fertilizers,Russia,2018
Bertil Hult,4.5,77,education,Sweden,2018
Ji Changqun,4.5,50,real estate,China,2018
"Paul Tudor Jones, II.",4.5,63,hedge funds,United States,2018
Robert Miller,4.5,84,retail,United Kingdom,2018
Sergei Popov,4.5,46,banking,Russia,2018
Juan Roig,4.5,68,supermarkets,Spain,2018
John Sall,4.5,69,software,United States,2018
Leonard Stern,4.5,79,real estate,United States,2018
Ye Chenghai,4.5,74,pharmaceuticals,Hong Kong,2018
Anthony Bamford,4.4,72,construction equipment,United Kingdom,2018
Chu Mang Yee,4.4,58,real estate,China,2018
Juan Carlos Escotet,4.4,58,banking,Venezuela,2018
Miguel Fluxa Rossello,4.4,79,hotels,Spain,2018
Andrew Forrest,4.4,56,mining,Australia,2018
Paul Gauselmann,4.4,83,gambling,Germany,2018
Tamara Gustavson,4.4,56,self storage,United States,2018
Micky Jagtiani,4.4,66,retail,India,2018
Johan Johannson,4.4,51,grocery stores,Norway,2018
Richard Li,4.4,51,telecom,Hong Kong,2018
John Morris,4.4,69,sporting goods retail,United States,2018
Theo Mueller,4.4,78,dairy,Germany,2018
Akio Nitori,4.4,74,home furnishings,Japan,2018
Wolfgang Reimann,4.4,65,consumer goods,Germany,2018
Matthias Reimann-Andersen,4.4,52,consumer goods,Germany,2018
Stefan Reimann-Andersen,4.4,54,consumer goods,Germany,2018
Renate Reimann-Haas,4.4,66,consumer goods,Germany,2018
Robert Smith,4.4,55,private equity,United States,2018
Russ Weiner,4.4,47,energy drinks,United States,2018
Jeronimo Arango,4.3,92,retail,Mexico,2018
Rahul Bajaj,4.3,79,motorcycles,India,2018
Rainer Blickle,4.3,70,auto parts,Germany,2018
Rocco Commisso,4.3,68,telecom,United States,2018
Giuseppe De'Longhi,4.3,78,coffee makers,Italy,2018
Tilman Fertitta,4.3,60,"Houston Rockets, entertainment",United States,2018
Nathan Kirsh,4.3,86,"retail, real estate",Swaziland,2018
Terrence Pegula,4.3,66,natural gas,United States,2018
Robert Pera,4.3,39,wireless networking gear,United States,2018
