name,country,age,wealth,source,year
Lucio Tan & family,Philippines,78,5,diversified,2013
Wee Cho Yaw,Singapore,84,5,banking,2013
Kunio Busujima & family,Japan,87,4.9,gaming,2013
Roberto Civita & family,Brazil,76,4.9,"publishing, TV",2013
"Enrique Razon, Jr.",Philippines,53,4.9,ports,2013
Robert Rowling,United States,59,4.9,investments,2013
David Duffield,United States,72,4.8,business software,2013
"Thomas Frist, Jr. & family",United States,74,4.8,health care,2013
Hui Wing Mau,Hong Kong,62,4.8,real estate,2013
Quek Leng Chan,Malaysia,69,4.8,diversified,2013
Karl Wlaschek,Austria,95,4.8,retail,2013
Mike Adenuga,Nigeria,59,4.7,"telcom, oil",2013
Michael Herz,Germany,69,4.7,coffee,2013
Wolfgang Herz,Germany,62,4.7,coffee,2013
Patrick McGovern,United States,75,4.7,media,2013
Sumner Redstone,United States,89,4.7,Viacom,2013
Alexander Abramov,Russia,54,4.6,"steel, mining",2013
Richard Branson,United Kingdom,62,4.6,Virgin,2013
Walter Faria,Brazil,57,4.6,beer,2013
Kwee brothers,Singapore,68,4.6,real estate,2013
Jin Sook & Do Won Chang,United States,58,4.5,Forever 21,2013
Paul Desmarais,Canada,86,4.5,finance,2013
David Green,United States,71,4.5,retail,2013
James & Arthur Irving,Canada,-,4.5,diversified,2013
Henry Kravis,United States,69,4.5,leveraged buyouts,2013
Ann Walton Kroenke,United States,64,4.5,Wal-Mart,2013
Lee Shin Cheng,Malaysia,74,4.5,palm oil,2013
Trevor Rees-Jones,United States,61,4.5,oil & gas,2013
Harry Triguboff,Australia,80,4.5,real estate,2013
Leslie Wexner,United States,75,4.5,retail,2013
Gustavo Cisneros & family,Venezuela,67,4.4,media,2013
Heinz-Horst Deichmann & family,Germany,86,4.4,shoes,2013
Francisco Ivens de Sa Dias Branco,Brazil,78,4.4,food production,2013
James Dyson,United Kingdom,65,4.4,vacuums,2013
Malcolm Glazer & family,United States,84,4.4,"sports teams, real estate",2013
Erivan Haub & family,Germany,80,4.4,retail,2013
Pansy Ho,Hong Kong,50,4.4,gaming,2013
Uday Kotak,India,53,4.4,banking,2013
Stephen Ross,United States,72,4.4,real estate,2013
Stef Wertheimer & family,Israel,86,4.4,tools,2013
Daniel Ziff,United States,41,4.4,investments,2013
Dirk Ziff,United States,48,4.4,investments,2013
Robert Ziff,United States,46,4.4,investments,2013
Emmanuel Besnier,France,42,4.3,Lactalis,2013
Leon Black,United States,61,4.3,private equity,2013
Laurence Graff,United Kingdom,74,4.3,diamond jewelry,2013
Bruce Kovner,United States,68,4.3,hedge funds,2013
Elizabeth Mohn & family,Germany,72,4.3,media,2013
Emanuele (Lino) Saputo,Canada,76,4.3,cheese,2013
Charles Schwab,United States,75,4.3,discount brokerage,2013
Takemitsu Takizaki,Japan,67,4.3,sensors,2013
Wu Yajun & family,China,49,4.3,real estate,2013
Shari Arison,Israel,55,4.2,Carnival Cruises,2013
Anthony Bamford & family,United Kingdom,67,4.2,construction equipment,2013
S. Truett Cathy,United States,91,4.2,Chick-fil-A,2013
Bruce Halle,United States,82,4.2,Discount Tire,2013
Joe Lewis,United Kingdom,76,4.2,investments,2013
Arnon Milchan,Israel,68,4.2,movie making,2013
Viktor Rashnikov,Russia,64,4.2,steel,2013
Leonard Stern,United States,74,4.2,real estate,2013
Americo Amorim,Portugal,78,4.1,"energy, investments",2013
Pierre Bellon & family,France,83,4.1,food services,2013
Chan Laiwa & family,China,72,4.1,real estate,2013
Barbara Carlson Gage,United States,70,4.1,"hotels, restaurants",2013
Ken Griffin,United States,44,4.1,hedge funds,2013
Bertil Hult,Sweden,72,4.1,education,2013
Jay Y. Lee,South Korea,44,4.1,Samsung,2013
Gordon Moore,United States,84,4.1,Intel,2013
Marilyn Carlson Nelson,United States,73,4.1,"hotels, restaurants",2013
George Roberts,United States,69,4.1,leveraged buyouts,2013
Melker Schorling,Sweden,65,4.1,investments,2013
Bruno Schroder & family,United Kingdom,80,4.1,banking,2013
Beny Steinmetz,Israel,56,4.1,"mining, diamonds, real estate",2013
Jeronimo Arango & family,Mexico,87,4,retail,2013
Vincent Bollore,France,60,4,investments,2013
Gayle Cook,United States,79,4,medical devices,2013
John Paul DeJoria,United States,69,4,"hair products, tequila",2013
Curt Engelhorn,Germany,86,4,pharmaceuticals,2013
Andre Esteves,Brazil,44,4,banking,2013
Andrei Guriev,Russia,52,4,fertilizers,2013
Stein Erik Hagen & family,Norway,56,4,retail,2013
Micky Jagtiani,India,61,4,retail,2013
William Koch,United States,72,4,"oil, investments",2013
Ted Lerner,United States,87,4,real estate,2013
Lin Rong San,Taiwan,73,4,real estate,2013
Lu Zhiqiang,China,60,4,diversified,2013
Lorenzo Mendoza & family,Venezuela,47,4,beverages,2013
Sun Guangxin,China,50,4,diversified,2013
Sam Zell,United States,71,4,"real estate, private equity",2013
Andrew Tan,Philippines,60,3.95,diversified,2013
Nancy Walton Laurie,United States,61,3.9,Wal-Mart,2013
George Lucas,United States,68,3.9,Star Wars,2013
Luo Jye & family,Taiwan,87,3.9,tires,2013
Liselott Persson,Sweden,63,3.9,H&M,2013
Cyrus Poonawalla,India,71,3.9,biotech,2013
Mitchell Rales,United States,56,3.9,manufacturing,2013
John A. Sobrato & family,United States,73,3.9,real estate,2013
Bernard Ecclestone & family,United Kingdom,82,3.8,Formula One,2013
Aloysio de Andrade Faria,Brazil,92,3.8,banking,2013
Diane Hendricks,United States,66,3.8,roofing,2013
Samvel Karapetyan,Russia,47,3.8,development,2013
Liu Yonghao & family,China,61,3.8,agribusiness,2013
Dustin Moskovitz,United States,28,3.8,Facebook,2013
Victor Pinchuk,Ukraine,52,3.8,"steel pipes, diversified",2013
Steven Rales,United States,61,3.8,manufacturing,2013
John Sall,United States,64,3.8,software,2013
Roger Wang,United States,64,3.8,retail,2013
Abilio dos Santos Diniz,Brazil,76,3.7,retail,2013
Albert Frere,Belgium,87,3.7,investments,2013
Barry Lam,Taiwan,63,3.7,computers,2013
Lars Larsen,Denmark,64,3.7,retail,2013
Bernardo Matte,Chile,-,3.7,paper,2013
Eliodoro Matte,Chile,-,3.7,paper,2013
Patricia Matte,Chile,-,3.7,paper,2013
"Edward Roski, Jr.",United States,74,3.7,real estate,2013
Bernard (Barry) Sherman,Canada,71,3.7,pharmaceuticals,2013
Jeffrey Skoll,United States,48,3.7,Ebay,2013
Maria Luisa Solari Falabella & family,Chile,-,3.7,retail,2013
Sheldon Solow,United States,84,3.7,real estate,2013
Samuel Yin,Taiwan,62,3.7,diversified,2013
Majid Al Futtaim,United Arab Emirates,-,3.6,"real estate, retail",2013
Adi Godrej & family,India,70,3.6,Consumer goods,2013
Jamshyd Godrej & family,India,64,3.6,Consumer Goods,2013
Barbara Piasecka Johnson,United States,76,3.6,Johnson & Johnson,2013
"Paul Tudor Jones, II.",United States,58,3.6,hedge funds,2013
Ronald Lauder,United States,69,3.6,Estee Lauder,2013
Axel Oberwelland,Germany,46,3.6,candy,2013
Zhang Xin & family,China,47,3.6,real estate,2013
Michael Ashley,United Kingdom,53,3.5,sports retailing,2013
John Gandel,Australia,78,3.5,shopping malls,2013
Daniel Gilbert,United States,51,3.5,Quicken Loans,2013
Jan Kulczyk,Poland,63,3.5,"telecom, oil, beer",2013
Tom & Judy Love,United States,75,3.5,retail & gas stations,2013
Najib Mikati,Lebanon,57,3.5,telecom,2013
Taha Mikati,Lebanon,68,3.5,telecom,2013
"Henry Ross Perot, Sr.",United States,82,3.5,"computer services, real estate",2013
Lynn Schusterman,United States,74,3.5,"oil & gas, investments",2013
Steven Udvar-Hazy,United States,67,3.5,aircraft leasing,2013
Christoffel Wiese,South Africa,71,3.5,retailing,2013
Anil Agarwal,India,59,3.4,"mining, metals",2013
Heinz-Georg Baus,Germany,79,3.4,home improvement stores,2013
Juan Cuneo Solari & family,Chile,-,3.4,retail,2013
Pauline MacMillan Keinath,United States,79,3.4,Cargill Inc.,2013
Lin Yu-lin,Taiwan,77,3.4,real estate,2013
Ian & Richard Livingstone,United Kingdom,-,3.4,real estate,2013
Sri Prakash Lohia,Indonesia,60,3.4,Polyester,2013
Jack Ma,China,48,3.4,internet,2013
Whitney MacMillan,United States,84,3.4,Cargill Inc.,2013
Gwendolyn Sontheim Meyer,United States,51,3.4,Cargill Inc.,2013
Carlos Rodriguez-Pastor,Peru,53,3.4,finance,2013
Ferit Faik Sahenk,Turkey,48,3.4,"banking, media",2013
David Shaw,United States,61,3.4,hedge funds,2013
Teresa Matilde Solari Falabella & family,Chile,-,3.4,retail,2013
Andreas Strungmann,Germany,63,3.4,pharmaceuticals,2013
Thomas Strungmann,Germany,63,3.4,pharmaceuticals,2013
Chairul Tanjung,Indonesia,50,3.4,diversified,2013
Ingvar Kamprad & family,Sweden,86,3.3,Ikea,2013
Kirk Kerkorian,United States,95,3.3,"casinos, investments",2013
Spiro Latsis & family,Greece,66,3.3,"banking, shipping",2013
Kalanithi Maran,India,47,3.3,media,2013
Alexander Nesis,Russia,50,3.3,"metals, banking, fertilizers",2013
J. Christopher Reyes,United States,59,3.3,food distribution,2013
Jude Reyes,United States,57,3.3,food distribution,2013
Arkady Rotenberg,Russia,61,3.3,"construction, pipes, banking",2013
Keiichiro Takahara,Japan,81,3.3,diapers,2013
Zhang Jindong,China,49,3.3,retail,2013
Tamara Gustavson,United States,51,3.25,self storage,2013
Semahat Sevim Arsel,Turkey,84,3.2,diversified,2013
David & Frederick Barclay,United Kingdom,79,3.2,"media, retail",2013
Vladimir Bogdanov,Russia,61,3.2,oil,2013
Gustaf Douglas,Sweden,75,3.2,security,2013
Frits Goldschmeding,Netherlands,79,3.2,temp agency,2013
Robert Holding,United States,86,3.2,"oil, resorts",2013
Heidi Horten,Austria,72,3.2,retail,2013
Fredrik Lundberg,Sweden,61,3.2,"real estate, investments",2013
Dmitry Mazepin,Russia,44,3.2,chemicals,2013
Karen Pritzker,United States,55,3.2,"hotels, investments",2013
Antonio Luiz Seabra,Brazil,70,3.2,cosmetics,2013
Jerry Speyer,United States,72,3.2,real estate,2013
Steven Spielberg,United States,66,3.2,movies,2013
Donald Trump,United States,66,3.2,"television, real estate",2013
Gautam Adani,India,50,3.1,"commodities, infrastructure",2013
Abdulla bin Ahmad Al Ghurair & family,United Arab Emirates,-,3.1,diversified,2013
David Azrieli & family,Canada,90,3.1,shopping malls,2013
Othman Benjelloun,Morocco,80,3.1,"banking, insurance",2013
Ron Burkle,United States,60,3.1,"supermarkets, investments",2013
Chung Eui-Sun,South Korea,42,3.1,Hyundai motor,2013
Charles Dolan & family,United States,86,3.1,cable television,2013
Guenther Fielmann,Germany,73,3.1,optometry,2013
He Xiangjian,China,70,3.1,appliances,2013
Antti Herlin,Finland,56,3.1,"elevators, escalators",2013
Reid Hoffman,United States,45,3.1,LinkedIn,2013
Nathan Kirsh,Swaziland,81,3.1,real estate,2013
Edward Lampert,United States,50,3.1,hedge funds,2013
Lu Guanqiu,China,68,3.1,diversified,2013
Bernard Marcus,United States,83,3.1,Home Depot,2013
Alain Merieux & family,France,75,3.1,pharmaceuticals,2013
Husnu Ozyegin,Turkey,68,3.1,"finance, diversified",2013
Clayton Riddell,Canada,75,3.1,oil & gas,2013
Haim Saban,United States,68,3.1,television,2013
Piero Solari Donaggio & family,Chile,-,3.1,retail,2013
Murat Ulker,Turkey,53,3.1,food manufacturing,2013
Riley Bechtel,United States,60,3,"engineering, construction",2013
"Stephen Bechtel, Jr.",United States,87,3,"engineering, construction",2013
John Catsimatidis,United States,64,3,"oil, real estate, supermarkets",2013
"William Conway, Jr.",United States,63,3,leveraged buyouts,2013
Daniel D'Aniello,United States,66,3,leveraged buyouts,2013
William Ding,China,41,3,online games,2013
Archie Aldis Emmerson,United States,83,3,"timberland, lumber mills",2013
Israel Englander,United States,64,3,hedge funds,2013
Mikhail Gutseriev,Russia,55,3,"oil, real estate",2013
Otto Happel,Germany,65,3,engineering,2013
Zarakh Iliev,Russia,46,3,real estate,2013
"Herbert Kohler, Jr. & family",United States,74,3,plumbing fixtures,2013
Lev Kvetnoi,Russia,47,3,"cement, airport",2013
James Leprino,United States,75,3,cheese,2013
Sergio Mantegazza,Switzerland,85,3,travel,2013
God Nisanov,Russia,40,3,real estate,2013
Terrence Pegula,United States,62,3,natural gas,2013
Anthony Pritzker,United States,52,3,"hotels, investments",2013
Jay Robert (J.B.) Pritzker,United States,48,3,"hotels, investments",2013
Nevaldo Rocha & family,Brazil,84,3,retail,2013
Kjell Inge Rokke,Norway,54,3,"shipping, seafood",2013
Renzo Rosso,Italy,57,3,Diesel Jeans,2013
David Rubenstein,United States,63,3,leveraged buyouts,2013
Filiz Sahenk,Turkey,46,3,"bank, media",2013
Alvaro Saieh Bendeck,Chile,63,3,banking,2013
Stephan Schmidheiny,Switzerland,65,3,investments,2013
Elisio Alexandre Soares dos Santos & family,Portugal,78,3,retail,2013
Friede Springer,Germany,70,3,publishing,2013
Wang Yung-Tsai,Taiwan,92,3,plastics,2013
Aloys Wobben,Germany,61,3,wind turbines,2013
Eddie & Sol Zakay,United Kingdom,62,3,real estate,2013
Zhang Shiping & family,China,66,3,metals,2013
Vasily Anisimov,Russia,61,2.9,"metals, real estate",2013
Martha Ingram & family,United States,77,2.9,"book distribution, transportation",2013
Shahid Khan,United States,62,2.9,auto parts,2013
Mustafa Rahmi Koc,Turkey,82,2.9,diversified,2013
Patrice Motsepe,South Africa,51,2.9,mining,2013
Daniel Och,United States,52,2.9,hedge funds,2013
Hans Riegel,Germany,89,2.9,candy,2013
Shi Yuzhu,China,50,2.9,diversified,2013
